Compiling to PhiFlow IR...
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 0.7814Hz
🔔 Resonating Field: 0.5500Hz
🔔 Resonating Field: 0.0000Hz
🔔 Resonating Field: 2.0000Hz
🔔 Resonating Field: 0.7303Hz
🔔 Resonating Field: 0.6657Hz
🔔 Resonating Field: 0.0000Hz
🔔 Resonating Field: 3.0000Hz
🔔 Resonating Field: 0.7129Hz
🔔 Resonating Field: 0.6873Hz
🔔 Resonating Field: 0.0000Hz
🔔 Resonating Field: 4.0000Hz
🔔 Resonating Field: 0.7008Hz
🔔 Resonating Field: 0.6937Hz
🔔 Resonating Field: 0.0000Hz
🔔 Resonating Field: 5.0000Hz
🔔 Resonating Field: 0.6904Hz
🔔 Resonating Field: 0.6951Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 6.0000Hz
🔔 Resonating Field: 0.6808Hz
🔔 Resonating Field: 0.6943Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 7.0000Hz
🔔 Resonating Field: 0.6716Hz
🔔 Resonating Field: 0.6924Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 8.0000Hz
🔔 Resonating Field: 0.6626Hz
🔔 Resonating Field: 0.6898Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 9.0000Hz
🔔 Resonating Field: 0.6536Hz
🔔 Resonating Field: 0.6868Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 10.0000Hz
🔔 Resonating Field: 0.6448Hz
🔔 Resonating Field: 0.6835Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 11.0000Hz
🔔 Resonating Field: 0.6359Hz
🔔 Resonating Field: 0.6799Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 12.0000Hz
🔔 Resonating Field: 0.6271Hz
🔔 Resonating Field: 0.6763Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 13.0000Hz
🔔 Resonating Field: 0.6183Hz
🔔 Resonating Field: 0.6725Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 14.0000Hz
🔔 Resonating Field: 0.6094Hz
🔔 Resonating Field: 0.6686Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 15.0000Hz
🔔 Resonating Field: 0.6006Hz
🔔 Resonating Field: 0.6647Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 16.0000Hz
🔔 Resonating Field: 0.5917Hz
🔔 Resonating Field: 0.6607Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 17.0000Hz
🔔 Resonating Field: 0.5828Hz
🔔 Resonating Field: 0.6566Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 18.0000Hz
🔔 Resonating Field: 0.5739Hz
🔔 Resonating Field: 0.6525Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 19.0000Hz
🔔 Resonating Field: 0.5649Hz
🔔 Resonating Field: 0.6484Hz
🔔 Resonating Field: 1.0000Hz
🔔 Resonating Field: 20.0000Hz
🔔 Resonating Field: 0.5559Hz
🔔 Resonating Field: 0.6442Hz
🔔 Resonating Field: 1.0000Hz
🌊 Stream broken: self_model_loop
✨ Execution Finished. Final Coherence: 0.0000
